Judul,Artis,Tahun,Era,Genre,Penulis,Lirik,Genius ID,Genius Path,Api Path,Header Image
Restoe Boemi,Dewa 19,1995,90an,Indonesian Pop,Dewa 19,"Sewangi.. Bunga mawar tubuhmu:newline:Menghampar di permadani:newline:Mengetuk hasrat 'tuk menjamah:newline:Surgamu...:newline::newline:Kilaumu.. Bagaikan mutiara:newline:Menghiasi muka bumi:newline:Warnamu yang kujilati:newline:Sendiri...:newline::newline:Reff ::newline:Kuyakinkan restu bumi:newline:Bangunkan jiwaku:newline:Basuhi raga kita:newline:Restu bumi leburkan hati:newline:Sucikan dari debu dunia:newline::newline:Kuraba... Jiwamu yang bersahabat:newline:Tundukkan suasana hati:newline:Seiring sepi menjepit:newline:Sukmaku...:newline:Back to Reff ::newline::newline:Seorang... Bijak'kan memahami:newline:Cinta bukan di cari, di raih:newline:Cintapun hadir sendiri...:newline:Back to Reff ::newline::newline::newline::newline::newline:Kuyakinkan restu bumi (Restu bumi kami):newline:Bangunkan jiwaku (Bangun jiwa kami):newline:Basuhi raga kita (Basuh raga yang kering):newline:Restu bumi leburkan hati (Basuh jiwa yang sepi):newline:Sucikan dari debu dunia (Melayang!! Berdua):newline:Back to Reff :",1103150,/Dewa-19-restoe-boemi-lyrics,/songs/1103150,https://images.genius.com/498dc6e7e571c29db6bf7aa49205b74b.600x600x1.jpg
Kiranya,Protonema,1995,90an,Indonesian Rock,Protonema,Antara satu rasa yang tak pernah berubah:newline:Berharap menyadari apa isi di hati sesungguhnya:newline:Sadari segala yang pernah kita lewati:newline:Sejenak menyadari apa isi di hati 'kan dahaga:newline:Adakah di hatimu seperti di hatiku:newline:Berharap untuk kembali:newline:Tak mudah dimengerti apa yang 'kan terjadi:newline:'Kan hadapi...tenanglah...hati:newline:Kiranya...kiranya rindu semakin dalam:newline:Kiranya...kiranya rindu semakin ada:newline:Sejenak menyadari apa isi di hati sesungguhnya:newline:Sadari segala yang pernah kita lewati:newline:Sejenak menyadari apa isi di hati 'kan dahaga:newline:Kiranya...kiranya rindu semakin dalam:newline:Kiranya...kiranya rindu semakin ada:newline:Sejenak menyadari apa isi di hati 'kan dahaga:newline:Kiranya...kiranya rindu semakin dalam:newline:Kiranya...kiranya rindu semakin ada:newline:Sejenak menyadari apa isi di hati sesungguhnya:newline:Sejenak menyadari apa isi di hati sesungguhnya,1666200,/Protonema-kiranya-lyrics,/songs/1666200,https://assets.genius.com/images/default_cover_image.png?1765575872
Negeriku,Chrisye,1997,90an,Pop Kreatif,Chrisye,"Mentari pagi, sinari semua:newline:Terangi bumi, hangatkan cinta:newline:Satukan tekad, hasrat, bangkitkan jiwa:newline:Jalan masih terbentang jauh:newline:'Tuk menggapai segala harapan:newline:Oh negeriku, negeri cintaku:newline:Selalu ada dalam hatiku:newline:Cinta negeriku:newline:Kau bangkitkan semangat hidup selalu:newline:Satukan raga, junjunglah cinta:newline:Peneguh hati, penyatu jiwa:newline:Capailah angan, dengan segenap rasa:newline:Demi kedamaian dalam kasih abadi sepanjang masa:newline:Oh negeriku, negeri cintaku:newline:Selalu ada dalam hatiku:newline:Cinta negeriku:newline:Kau bangkitkan semangat hidup selalu:newline:Capailah angan, dengan segenap rasa:newline:Demi kedamaian dalam kasih abadi sepanjang masa:newline:Oh negеriku, negeri cintaku:newline:Selalu ada dalam hatiku:newline:Cinta negeriku:newline:Kau bangkitkan semangat hidup:newline:Oh negeriku, negeriku negeri cintaku:newline:Cinta negeriku:newline:Kau bangkitkan semangat hidup selalu",5862989,/Chrisye-negeriku-lyrics,/songs/5862989,https://images.genius.com/e885d35b4b9fc00b59f29b08a485be35.313x313x1.jpg
Cukup Siti Nurbaya,Dewa 19,1995,90an,Indonesian Pop,Dewa 19,"Oh.. Masih ada Belenggu ruang cinta:newline:Meresap kini di dinding zaman:newline:Mencoba - coba kikis naluri:newline:Agitasi murahan yang ada lagi:newline:Mohon acuhkan Palingkan muka:newline::newline:Oh.. Memang dunia:newline:Buramkan satu logika:newline:Seolah - olah hidup kita ini:newline:Hanya ternilai sebatas rupiah:newline::newline:Coda::newline:Dengarkan manusia yang terasah falsafah:newline:Sesaat katanya itu bukan dogma:newline::newline:Reff::newline:Katakan!! Pada Mama:newline:Cinta bukan hanya harta dan tahta:newline:Pastikan!! Pada semua:newline:Hanya cinta yang sejukkan dunia:newline:(Bukan itu Mama... Bukan itu Papa... 2x):newline::newline:Oh.. Cukup Siti Nurbaya:newline:Yang mengalami Pahitnya dunia:newline:Hidupku kamu dan mereka semua:newline:Takkan ada yang bisa memaksakan jalan:newline:Hidup yang 'kan tertempuh:newline:Back to Coda, Reff:",1274272,/Dewa-19-cukup-siti-nurbaya-lyrics,/songs/1274272,https://images.genius.com/498dc6e7e571c29db6bf7aa49205b74b.600x600x1.jpg
Sudah,Ahmad Band,1998,90an,Indonesian Rock,Ahmad Band,"[Lirik ""Sudah""]:newline::newline:[Verse 1]:newline:Dinda:newline:Semua berakhir, sudah:newline:S'gala rasa yang t'lah tertuang:newline:Semua jadi kenangan:newline:Manis mungkin hanyut berdua:newline:Di dalam kekosongan:newline:Mata hati ini:newline::newline:[Chorus]:newline:Tak satupun yang kusesali:newline:Malahan semua hiasi hidup:newline:Mungkin setitik perih yang ada:newline:Mendewasakan aku dan kamu:newline::newline:[Verse 2]:newline:Dinda:newline:Jangan sesali ini:newline:Kamu masih cantik seperti dulu:newline:Saat pertama kali:newline:Kita jumpa:newline:Oh, Dinda:newline:Semua berakhir, sudah:newline:Mestinya semua terangkum dan:newline::newline::newline::newline::newline:[Chorus]:newline:Tak satupun yang ku sesali:newline:Malahan semua hiasi hidup:newline:Mungkin duri yang pernah tertancap:newline:Mendewasakan aku dan kamu:newline::newline:[Interlude]:newline::newline:[Chorus]:newline:Tak satupun yang kusesali:newline:Malahan semua hiasi hidup:newline:Mungkin setitik perih yang ada:newline:Mendewasakan aku dan kamu:newline::newline:Tak satupun yang ku sesali:newline:Malahan semua hiasi hidup:newline:Mungkin duri yang pernah tertancap:newline:Mendewasakan aku dan kamu:newline:Agar terus dapat melawan badai:newline::newline:Tak satupun yang kusesali:newline:Malahan semua hiasi hidup:newline:Mungkin setitik perih yang ada:newline:Mendewasakan aku dan kamu:newline:Agar terus dapat melawan badai",5299857,/Ahmad-band-sudah-lyrics,/songs/5299857,https://images.genius.com/40e617321e46a52e6ddb67602baeb396.320x320x1.jpg
Aku Disini Untukmu,Dewa 19,1997,90an,Indonesian Pop,Dewa 19,Melayang kau cari-cari arti:newline:Yang pasti tak kan kautemui:newline:Tak perlu kau nilai-nilai semua:newline:Biarlah semua adanya:newline:Kau coba meraba-raba hati:newline:Warna gejolak di sini:newline:Alirkan semua rahasia:newline:Taburkan dalam suasana:newline:Tak usah kau cari makna hadirnya diriku:newline:Aku di sini untukmu:newline:Mungkin memberi arti cinta pada dirimu:newline:Aku di sini untukmu:newline:Tak usah kau tanya-tanya lagi:newline:Coba kau hayati peranmu:newline:Lupakan sekilas esok hari:newline:Semua telah terjadi:newline:Aku dan dirimu:newline:Tenggelam dalam asa:newline:Dan tak ingin lari:newline:Tanggalkan rasa ini:newline:Cobalah entaskan:newline:Pastikan lepas atau terus:newline:Semoga perih terbang tinggi di awan:newline:Tak usah kau cari makna hadirnya diriku:newline:Aku di sini untukmu:newline:Mungkin memberi arti cinta pada dirimu:newline:Aku di sini untukmu:newline:Lepaskan sejenak berat beban di pundakmu:newline:Aku disini untukmu:newline:Pastikan terjawab semua ragu di cintamu:newline:Aku di sini untukmu:newline:Tak usah kau cari makna hadirnya diriku:newline:Aku di sini untukmu:newline:Kau coba meraba-raba hati:newline:Warna gejolak di sini:newline:Alirkan semua rahasia:newline:Taburkan dalam suasana,1709955,/Dewa-19-aku-disini-untukmu-lyrics,/songs/1709955,https://images.genius.com/510d51230eb2615ca0af778329accd53.1000x1000x1.jpg
Elang,Dewa 19,1999,90an,Indonesian Pop,Dewa 19,"Am F G:newline:Aku ingin terbang tinggi:newline:Em:newline:Seperti elang:newline:Am F G:newline:Melewati siang malam:newline:Em:newline:Menembus awan:newline::newline:* ::newline:Am F G:newline:Ini tanganku untuk kau genggam:newline:Em Am:newline:Ini tubuhku untuk kau peluk:newline:F G:newline:Ini bibirku untuk kau cium:newline:Em Am:newline:Tapi tak bisa kau miliki... Aku:newline::newline:Reff::newline:Am Dm F E:newline:Tak usah kau terus tangisi kepergianku:newline:Am Dm F:newline:Air mata takkan memanggilku:newline:E:newline:Untuk kembali...:newline::newline::newline::newline::newline:Am F G Em:newline:Aku adalah mimpi - mimpi sedang melintasi:newline:Am F G Em:newline:Sang perawan yang bermain dengan perasaan:newline:Back to *, Reff::newline:A5 B5 C5 F#5 (4x):newline:Back to *, Reff: (2x):newline::newline:Am Dm F F:newline:(Aku adalah mimpi - mimpi, tiada arti):newline:Am Dm F E:newline:(Aku ingin terbang tinggi seperti elang):newline:(Fade Out",1674885,/Dewa-19-elang-lyrics,/songs/1674885,https://images.genius.com/fe1626a41b89e14375e6a6b19ead2960.1000x1000x1.jpg
Mawar Merah,Slank,1991,90an,Indonesian Rock,Slank,[Verse 1]:newline:Memang ku tak mampu belikan dia perhiasan:newline:Tak pernah atau memberi kemewahan:newline:Tapi kuyakin dia bahagia:newline:Tanpa itu semua:newline::newline:[Verse 2]:newline:Walau memang dirimu bernasib baik bapak lo kaya:newline:Yang s'lalu kau andalkan untuk mendapatkannya:newline:Percuma kau dekati dia:newline:Karena cintanya pasti untukku:newline::newline:[Chorus]:newline:(Aya ya ya) simpan saja uangmu:newline:(Aya ya ya) bawa pergi mercy-mu:newline:(Aya ya ya) enyah dari bunga mawarku:newline:Enyah dari mawar merahku:newline:Karena dia milikku:newline::newline:[Verse 3]:newline:Memang penampilanku juga rupaku selengean:newline:Memang cara hidupku tak teratur pengangguran (kata orang sih):newline:Tapi ku yakin dia bahagia:newline:Karena dia mawar merahku:newline::newline:[Chorus]:newline:(Aya ya ya) simpan saja uangmu:newline:(Aya ya ya) bawa pergi mercy-mu:newline:(Aya ya ya) enyah dari bunga mawarku:newline:Enyah dari mawar merahku:newline:Karena dia milikku,891431,/Slank-mawar-merah-lyrics,/songs/891431,https://images.genius.com/5f69b19cef4e75467514445b3c5e069b.1000x1000x1.jpg
Belahan Jiwa,Kla Project,1998,90an,Indonesian Pop,Kla Project,"(Katon Bagaskara/Ari Burhani):newline:Membaca lagi surat-suratmu, hatiku jatuh rindu:newline:Tak sadar pada langit kamarku, kulukis kau di situ:newline:Waktu yang berlalu, dan jarak masih saja terbentang:newline:Penamu bicara, menembus ruang menyapa sukmaku:newline:Mendesah lembut angin membawa butiran hati lara:newline:Ternyata meraih kesempatan, tak semudah kusangka:newline:Kau setia menunggu lelaki kecil menantang hidup:newline:Kau sertakan do'a, seolah mantra menjelma nafasku:newline:Memendam tanya segera terucap:newline:Belahan jiwa apa kabarmu:newline:Kuharap s'lalu tetap kau jaga:newline:Tumbuhan cinta yang di ladang kita ...:newline:Kau setia menunggu lelaki kecil menantang hidup:newline:Kau sertakan do'a, seolah mantra menjelma nafasku:newline:Memendam tanya segera terucap:newline:Belahan jiwa apa kabarmu:newline:Kuharap s'lalu tetap kau jaga:newline:Tumbuhan cinta yang di ladang kita:newline:Aku ... jauh di sini menggapai cita:newline:Hingga ... satu saat pasti ku kan kembali:newline:Kan kujemput dikau Sang Putri, pada saatnya nanti:newline:Berkereta kencana kubawa pergi, 'tuju istana di sana kubertahta:newline:Memendam tanya segera terucap:newline:Belahan jiwa apa kabarmu:newline:Kuharap s'lalu tetap kau jaga:newline:Tumbuhan cinta yang di ladang kita:newline:Aku ... jauh di sini menggapai cita:newline:Hingga ... satu saat pasti ku' kan kembali:newline::newline::newline::newline::newline:-Koko,Ery,Santi,Meni'-",1676460,/Kla-project-belahan-jiwa-lyrics,/songs/1676460,https://images.genius.com/ae4bb211522b24e3d14ca7f9bd5ea696.360x360x1.jpg
Pertama,Reza Artamevia,1997,90an,Indonesian Pop,Reza Artamevia,"Pertama, kurasakan getaran:newline:Yang kerap goyahkan rasa:newline:Serasa ada sentuhan baru:newline:Sinari hari-hariku:newline:Pertama, dirikupun tergoda:newline:Kilaunya matamu:newline:Runtuhkan angkuhnya dinding hati:newline:Koyakkan batas sepiku....dinginku:newline:Pertama untukku dan tak kulupa:newline:Diriku terjerat cintamu:newline:San aku tak ingin lepas:newline:Larutkan aku dalam nyata:newline:Riak belaimu yang akan:newline:Temani setiamu padaku:newline:Kurasa...sentuhan...getaran...:newline:(oh, yang pertama):newline:Dalam...peluk...cinta",1052346,/Reza-artamevia-pertama-lyrics,/songs/1052346,https://images.genius.com/223d5b023d7f870fc6a0af2d393eb10b.220x220x1.jpg
Bahasa Kalbu,Titi DJ,1999,90an,Indonesian Pop,Titi DJ,Kau satu terkasih:newline:Kulihat di sinar matamu:newline:Tersimpan kekayaan batinmu:newline::newline:Di dalam senyummu:newline:Kudengar bahasa kalbumu:newline:Mengalun bening menggetarkan:newline::newline:Kini dirimu yang selalu:newline:Bertahta di benakku:newline:Dan aku kan mengiringi:newline:Bersamam di setiap langkahmu:newline::newline:Percayalah:newline:Hanya diriku yang paling mengerti:newline:Kegelisahan jiwamu kasih:newline:Dan arti kata kecewamu:newline::newline:Kasih yakinlah:newline:Hanya aku yang paling memahami:newline:Besar arti kejujuran diri:newline:Indah sanubarimu kasih:newline:Percayalah,930514,/Titi-dj-bahasa-kalbu-lyrics,/songs/930514,https://images.genius.com/d1d8f8e58814e013018f12f1402c3e83.999x999x1.jpg
Menghitung Hari,Kris Dayanti,1998,90an,Malay,Kris Dayanti,"[Verse 1]:newline:Menghitung hari, detik demi detik:newline:Masa 'ku nanti apa 'kan ada:newline:Jalan cerita, kisah yang panjang:newline:Menghitung hari:newline:Padamkan saja, kobar asmaramu:newline:Cinta putih itu takkan ada:newline:Yang aku minta tulus hatimu:newline:Bukan puitis:newline::newline:[Chorus]:newline:Pergi saja cintamu pergi:newline:Bilang saja pada semua:newline:Biar semua tahu adanya:newline:Diriku kini sendiri:newline::newline:[Verse 2]:newline:Padamkan saja, kobar asmaramu:newline:Jika putik itu takkan ada:newline:Yang aku minta tulus hatimu:newline:Bukan puitis:newline::newline:[Chorus]:newline:Pergi saja cintamu pergi:newline:Bilang saja pada semua:newline:Biar semua tahu adanya:newline:Diriku kini sendiri:newline:Oh, pergi saja cintamu pergi:newline:Bilang saja pada semua:newline:Biar semua tahu adanya:newline:Diriku kini sendiri:newline::newline::newline::newline::newline:[Outro]:newline:Diriku kini sendiri",1767030,/Krisdayanti-menghitung-hari-lyrics,/songs/1767030,https://images.genius.com/e2fa404974af790fe62192e705be0bad.600x600x1.jpg
Cerita Cinta,Kahitna,1994,90an,Indonesian Pop,Kahitna,"Heey ...:newline:Yee iyee iyee  ye ye ye ye ..:newline:Heey iyee iyee iyee ...:newline::newline:[Verse 1]:newline:Berawal dari mata, Indahnya senyuman:newline:Mengapa harus resah:newline:Berawal tatap mata, Hangatnya sapamu:newline:Mengapa jadi gundah:newline::newline:[Pre-Chorus]:newline:Tak kusangka kita sama:newline:Telah menyimpan getar cinta... cinta..:newline:Iyee ...:newline::newline:[Chorus]:newline:Biar cinta gelora di dada:newline:Biar cinta memadukan kita Ouwoo wo wo:newline:Cerita cinta yang pertama kurasa:newline:Jangan pernah akhir cerita cinta kita:newline::newline:[Verse 2]:newline:Kini rindu yang kupunya hanya untukmu:newline:Hanya padamu:newline:Apabila kita memang mesti bersatu:newline:Mengapa harus ragu:newline::newline::newline::newline::newline:[Pre-Chorus]:newline:Tak kusangka kita sama:newline:Telah menyimpan getar cinta... cinta...:newline:Iyee ...:newline::newline:[Chorus]:newline:Biar cinta gelora di dada:newline:Biar cinta memadukan kita Ouwoo wo wo:newline:Cerita cinta yang pertama kurasa:newline:Jangan pernah akhir cerita cinta kita:newline::newline:[Bridge]:newline:Dunia seakan bercanda.. (Ho oo):newline:Melihat cerita kita... (Cinta aa aa Ouwoowo ):newline::newline:[Chorus]:newline:Biar cinta (biar cinta):newline:Bergelora di dada:newline:Biar cinta  (biar cinta):newline:Memadukan kita Ouwoo wo wo:newline:Cerita cinta yang pertama kurasa:newline:Jangan pernah akhir cerita cinta kita:newline::newline:Biar cinta...:newline:Gelora di dada:newline:Biar cinta...:newline:Memadukan kita Ouwoo wo wo:newline:Cerita cinta yang pertama kurasa:newline:Jangan pernah akhir cerita cinta kita:newline::newline::newline::newline::newline:Eey .. (cerita cinta) yeiyeiyeiye... (cerita cinta):newline:Eey .. (cerita cinta) yeiyeiyeiye... (cerita cinta kita):newline:Eey .. jangan pernah berakhir cerita cinta kita",1345834,/Kahitna-cerita-cinta-lyrics,/songs/1345834,https://images.genius.com/50419e99bb017011bdb58125f387ee94.600x600x1.jpg
Cukup Sudah,Glenn Fredly,1998,90an,Indonesian Pop,Glenn Fredly,"[Lirik ""Cukup Sudah""]:newline::newline:[Chorus]:newline:Cukup sudah, kukatakan:newline:Untuk sekian kali, Aku sayang kamu:newline:Cukup sudah, batas waktu:newline:Sudikah dirimu:newline:Untuk jadi:newline:Kekasihku:newline::newline:[Verse 1]:newline:Kau memang cantik dan juga lucu:newline:Kamu membuatku tidur tak tentu:newline:Dua tahunku menutup buku:newline:Tiada yang lain hanyalah dirimu:newline::newline:[Chorus]:newline:Cukup sudah, kukatakan:newline:Untuk sekian kali, Aku sayang kamu:newline:Cukup sudah, batas waktu:newline:Sudikah dirimu:newline:Untuk jadi:newline:Kekasihku:newline::newline:[Verse 2]:newline:Ku sabar slalu ku hitung hari-hari:newline:Kau yang tak tahu:newline:Dan yang tak mau tahu:newline:Terlalu lama:newline:Ku jadi sahabatmu:newline:Kapankah aku:newline:Jadi kekasihmu:newline::newline::newline::newline::newline:[Chorus]:newline:Cukup sudah, kukatakan:newline:Untuk sekian kali, Aku sayang kamu:newline:Cukup sudah, batas waktu:newline:Sudikah dirimu:newline:Untuk jadi:newline:Kekasihku",915631,/Glenn-fredly-cukup-sudah-lyrics,/songs/915631,https://images.genius.com/e0e1a91d934c9c2b23cb61bc91462dd6.600x600x1.png
Impresi,Pas Band,1995,90an,Indonesian Rock,Pas Band,"Pas Band - Impresi:newline::newline:Aku tak pernah mengerti:newline:Di dunia pencaci:newline:Bersemi luka-luka:newline:Kekerasan dan tangisan:newline::newline:Darah tubuhku lain denganmu:newline:Jadi tubur cair dan banyak waktu:newline:'Tuk menyinyir:newline:’Tuk menyinyir:newline:'Tuk menyinyir:newline::newline:Jadi pemenang yang kita pikirkan, jadi yang kuat yang kita pikirkan:newline:Jadi yang kaya yang kita paksakan, jadi pemenang yang kita pikirkan:newline:Hanya pemenang yang kita yakini, hanya yang kuat yang kita yakini:newline:Yang kaya kita yakini, jadi pemenang yang kita yakini:newline::newline:Aku mulai bosan dengarkan kata-kata:newline:Aku mulai muak dengarkan ceritamu:newline:Aku sudah lelah dengan harapan:newline:Aku mulai mual dengarkan ceritamu:newline:Ho-oh-ho-oh-oh-oh-oh-oh:newline::newline:Kita lupa rindangnya nurani:newline:Pertarungan adalah mati:newline:Tak jadi akhirkan cerita:newline:Tak sembuhkan luka-luka:newline::newline::newline::newline::newline:Tak mungkin lari dari nurani:newline:Dari cinta, dari luka dan dari waktu:newline:'Tuk berbagi:newline:’Tuk berbagi, yeah:newline::newline:Jadi pemenang yang kita pikirkan, yang kuat, kita pikirkan:newline:Jadi yang kaya, kita paksakan, jadi pemenang yang kita pikirkan:newline:Jadi pemenang yang kita yakini, hanya yang kuat yang kita yakini:newline:Jadi yang kaya, kita yakini, hanya pemenang yang kita yakini:newline::newline:Aku mulai bosan dеngarkan kata-kata:newline:Aku mulai muak dengarkan ceritamu:newline:Aku mulai bosan dengan harapan:newline:Aku mulai mual dеngarkan ceritamu:newline::newline:Aku mulai bosan dengar cerita:newline:Aku mulai muak dengarkan kata-kata:newline:Aku mulai lelah dengan harapan:newline:Aku mulai mual dengarkan ceritamu, oh-oh-oh:newline::newline:Aku sudah bosan dengarkan kata-kata:newline:Aku sudah muak dengarkan harapanmu:newline:Aku sudah lelah dengar harapan:newline:Aku sudah mual dengarkan ceritamu, oh-oh-oh",9701600,/Pas-band-impresi-lyrics,/songs/9701600,https://images.genius.com/9afed6c5e7ab38a6b4df3a704e9c97ea.1000x1000x1.jpg
Generasi Biru,Slank,1994,90an,Indonesian Rock,Slank,"[Bimbim shouts]:newline:Woi, matiin! Mau rekaman!:newline:Woi!:newline::newline:[Intro]:newline::newline:[Verse 1]:newline:Aku bukan pion-pion catur:newline:Aku nggak suka diatur-atur:newline:Jangan coba halangi aku:newline:Kar'na aku Generasi Biru:newline::newline:[Interlude]:newline::newline:[Verse 2]:newline:Aku nggak mau di rekayasa:newline:Aku ingin berfikir merdeka:newline:Jangan coba-coba untuk memaksa:newline:Kar'na aku Generasi Biru:newline::newline:[Chorus]:newline:Biru, biru, biru, biru:newline:Generasi Baru:newline:Biru, biru, biru, biru:newline:Oooh yeah:newline:Biru, biru, biru, biru:newline:Generasi biru:newline:Biru, biru, biru, biru:newline:Oooooh:newline:Yeah:newline::newline::newline::newline::newline:[Interlude]:newline::newline:[Verse 3]:newline:Biarkan terbuka lebar:newline:Nggak perlu tutup mataku:newline:Aku ingin melihat jelas:newline:Ini jaman Generasi Biru:newline::newline:[Verse 4]:newline:Biarkan kuteriak lantang:newline:Untuk apa sumbat mulutku:newline:Aku ingin bernyanyi keras:newline:Ini lagu Generasi Biru, yeah:newline::newline:[Chorus]:newline:Biru, biru, biru, biru:newline:Generasi Baru:newline:Biru, biru, biru, biru:newline:Oooh yeah:newline:Biru, biru, biru, biru:newline:Generasi biru:newline:Biru, biru, biru, biru:newline:Biru, biru:newline:Yeah:newline::newline:[Interlude]:newline::newline::newline::newline::newline:[Bridge]:newline:Aku bukan anakmu:newline:Aku hanya titipan:newline:Mimpiku milikku:newline:Aku ciptaan Tuhan:newline::newline:[Chorus]:newline:Biru, biru, biru, biru:newline:Generasi Baru:newline:Biru, biru, biru, biru:newline:Oooh yeah:newline:Biru, biru, biru, biru:newline:Generasi oooooh:newline:Biru, biru, biru, biru:newline:Generasi Dua Ribu:newline:Oooooh:newline::newline:[Outro]",4834127,/Slank-generasi-biru-lyrics,/songs/4834127,https://images.genius.com/8d70514c192f9f8eaf30ac19378e9d53.600x600x1.jpg
Foto Dalam Dompetmu,Slank,1995,90an,Indonesian Rock,Slank,U.... di hati ini cuma ada dirimu:newline:U.... di dalam mimpi pasti ada bayangmu:newline:U.... disini slalu masih memikirkanmu:newline:U.... disini aku gelisah... ingin tahu:newline:Masihkah... diriku di dalam hatimu:newline:Masihkah... potretku di tembok kamarmu:newline:Masihkah... bayangku di dalam mimpimu:newline:Masihkah... fotoku di dalam dompetmu:newline:Uuu... disana kamu enggak ada kabarnya:newline:Uuu... disini hampir bosan menunggumu:newline:Uuu... disana kamu kemana saja:newline:Uuu... disini aku resah... sangan ingin tahu:newline:Masihkah... diriku di dalam hatimu:newline:Masihkah... potretku di tembok kamarmu:newline:Masihkah... bayangku di dalam mimpimu:newline:Masihkah... fotoku di dalam dompetmu,1657246,/Slank-foto-dalam-dompetmu-lyrics,/songs/1657246,https://images.genius.com/29890348f514208945ddfe3ca6b13cfd.640x640x1.jpg
Tertatih,Sheila On 7,1999,90an,Indonesian Pop,Sheila On 7,"[Lirik ""Tertatih""]:newline::newline:[Verse 1]:newline:'Ku peluk rapuhmu dengan karyaku:newline:'Ku peluk celahmu dengan candaku:newline:'Ku nanti merdu lagu:newline:'Ku tatih belajar terbang di awan:newline:'Ku bingkai semua impian khayalan:newline:Iringi canda tawa:newline::newline:[Verse 2]:newline:'Ku basuh marahmu dengan lirihku:newline:'Ku basuh semua bara di ragumu:newline:'Ku nanti harum peluk:newline:'Ku tatih belajar terbang di awan:newline:'Ku bingkai semua impian khayalan:newline:Iringi canda tawa:newline::newline:[Chorus]:newline:Walau tertatih, walau tercabik:newline:Khilafkan putih, hanya kau mimpiku:newline:Tertatih, biar tercabik:newline:Khilafkan putih, hanya kau mimpiku:newline:Tertatih, tercabik:newline:Khilafkan putih, hanya kau mimpiku:newline::newline::newline::newline::newline:[Verse 3]:newline:'Ku tatih belajar terbang di awan:newline:'Ku bingkai semua impian khayalan:newline:Iringi canda tawa:newline::newline:[Chorus]:newline:Walau tertatih, walau tercabik:newline:Khilafkan putih, hanya kau mimpiku:newline:Tertatih, biar tercabik:newline:Khilafkan putih, hanya kau mimpiku:newline:Tertatih, tercabik:newline:Khilafkan putih, hanya kau mimpiku:newline::newline:[Outro]:newline:Dan bila semua kan berakhir:newline:Hanya kau mimpiku:newline:Tertatih, tercabik:newline:Hanya kau mimpiku",756461,/Sheila-on-7-tertatih-lyrics,/songs/756461,https://images.genius.com/fe85986bfd29686ab95dac4f36cc8cb5.600x600x1.jpg
Izinkan,Nike Ardilla,1991,90an,Indonesian Rock,Nike Ardilla,Tlah berakhir semua mimpi:newline:Dan kenyataan tentang dirimu:newline:Karna kini ku mengerti:newline:Semua dusta dan kepalsuan:newline:Begitulah kamu...:newline:Begitulah cintamu...:newline::newline:Izinkanlah.... aku mengakhiri semua:newline:Izinkanlah.... aku mengakhiri dusta:newline:Dan kepalsuan yang kau samarkan:newline::newline:Jangan lagi kau kembali:newline:Dan menggoyahkan pendirianku:newline:Apalagi tuk mengulang:newline:Duka yang sama:newline:Pada hatiku:newline::newline:Berakhirlah sudah:newline:Berakhirlah semua...,7527605,/Nike-ardilla-izinkan-lyrics,/songs/7527605,https://images.genius.com/e0fea81feeff45fb64507b0efd245083.457x457x1.jpg
